"","Avg.R_1","Avg.R_2","Avg.R_3","Avg.R_4","Avg.R_5","Avg.R_6"
"Grain shape 1",127.092024539877,183.909090909091,255.090909090909,320,NaN,NaN
"Grain shape 1-2",127.489795918367,181.4,240,100,NaN,NaN
"Grain shape 2",150.393220338983,196.975609756098,230.114942528736,298.333333333333,340,NaN
"Grain shape 2-3",176.25,196.434782608696,222.037037037037,240.769230769231,NaN,NaN
"Grain shape 3",218.033195020747,250.772616136919,286.51030110935,326.893913043478,376.231527093596,370
"Grain shape 3-4",245.333333333333,263.931623931624,305.68,340,384.722222222222,NaN
"Grain shape 4",256.158536585366,290.85393258427,305.932835820896,333.641304347826,364,520
"Grain shape 4-5",246.95652173913,282.741935483871,321.384615384615,329.85,340.909090909091,140
"Grain shape 5",256.344086021505,283,293.478260869565,288.421052631579,354.285714285714,NaN
"Grain shape 5-6",274.285714285714,289.230769230769,290.909090909091,324.285714285714,286.666666666667,NaN
"Grain shape 6",322.756302521008,351.122676579926,363.193548387097,369.171014492754,387.950617283951,340
"Grain shape 6-7",NaN,370,NaN,NaN,NaN,NaN
"Grain shape 7",400,305,440,220,NaN,NaN
"Grain shape 7-8",320,NaN,280,470,NaN,NaN
"Grain shape 8",NaN,293.333333333333,285,281.666666666667,349.545454545455,318.947368421053
"Grain shape 8-9",NaN,NaN,NaN,NaN,NaN,NaN
"Grain shape 9",183.333333333333,256,283.076923076923,320.129032258065,359.573770491803,335
